"question_no","question_id","ai_answer","ref_cn","ref_en","ref_final","cn_en_answer_conflict","ai_reference_conflict","ai_cn_reference_conflict","ai_en_reference_conflict","tier","reference_answer_status"
"1","v7_q_000001","C","C","C","C","False","False","False","False","clean","一致"
"2","v7_q_000002","C","C","C","C","False","False","False","False","clean","一致"
"3","v7_q_000003","A","A","A","A","False","False","False","False","clean","一致"
"4","v7_q_000004","D","D","C","D","True","False","False","True","answer_conflict","不一致"
"5","v7_q_000005","A","A","A","A","False","False","False","False","clean","一致"
"6","v7_q_000006","B","B","B","B","False","False","False","False","clean","一致"
"7","v7_q_000007","D","D","D","D","False","False","False","False","clean","一致"
"8","v7_q_000008","B","B","B","B","False","False","False","False","clean","一致"
"9","v7_q_000009","D","C","C","C","False","True","True","True","clean","一致"
"10","v7_q_000010","A","A","A","A","False","False","False","False","clean","一致"
"11","v7_q_000011","C","C","C","C","False","False","False","False","clean","一致"
"12","v7_q_000012","B","A","B","A","True","True","True","False","answer_conflict","不一致"
"13","v7_q_000013","D","D","D","D","False","False","False","False","clean","一致"
"14","v7_q_000014","C","C","A","C","True","False","False","True","answer_conflict","不一致"
"15","v7_q_000015","A","A","A","A","False","False","False","False","clean","一致"
"16","v7_q_000016","C","C","C","C","False","False","False","False","clean","一致"
"17","v7_q_000017","B","B","B","B","False","False","False","False","clean","一致"
"18","v7_q_000018","D","D","D","D","False","False","False","False","clean","一致"
"19","v7_q_000019","D","D","D","D","False","False","False","False","clean","一致"
"20","v7_q_000020","D","D","D","D","False","False","False","False","clean","一致"
