"current_question_number","mapping_source_file","mapping_source_number","mapping_confidence","mapping_status","option_mapping","mapping_reason","proposed_question","proposed_A","proposed_B","proposed_C","proposed_D","proposed_E","proposed_F","current_answer","chinese_answer","proposed_answer","change_type","answer_analysis_risk","agent_notes"
"1","第三章.docx","1","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","What does the Financial Action Task Force (FATF) urge its members and all other jurisdictions to do when a jurisdiction is identified as having weak AML/CFT controls?","Apply counter-measures to that jurisdiction","Consider customers from that jurisdiction as high risk","Cease doing business with that jurisdiction immediately","Apply economic sanctions until otherwise notified by FATF","","","A","A","A","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"2","第三章.docx","2","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Financial Action Task Force (FATF)-style regional bodies are created and obliged to understand the inherent money laundering and terrorist financing risks in the region of the world they serve. What is one of the methods they use to understand these risks?","They require member countries to develop statistical metrics over money laundering and terrorist financing crimes","They require participating financial institutions of their members to file suspicious transaction reports to the regional body","They conduct global research on money laundering and terrorist financing trends and report their findings in their own typologies report","They conduct regional-level research and analysis of the money laundering and terrorist financing methods and trends using standards and templates used for FATF typologies reports","","","D","D","D","无需修改","无明显风险；建议答案由已确认的中文答案经身份映射换算。","当前英文表达自然且与中文语义一致，建议保留。"
"3","第三章.docx","128","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","How should an employee respond if a senior manager asks the employee to process a transaction that has triggered a red flag, in violation of AML/CFT requirements?","Process the transaction and document the payment details and senior management's instructions in the case management system.","Notify the immediate supervisor. If the supervisor does not act, escalate the matter or use an independent internal or external whistleblowing channel to alert the appropriate parties.","Process the transaction as instructed by senior management.","Accept responsibility and notify the immediate supervisor.","","","B","B","B","题干与选项润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"4","第三章.docx","129","高","已确认","A→A; B→B; C→C; D→D; E→E","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Which of the following are included in the11 Immediate Outcomes outlined in the Financial Action Task Force (FATF) methodology for assessing technical compliance with the FATF Recommendations and the effectiveness of AML/CFT/CPF systems during mutual evaluations? (Choose three.)","International cooperation provides actionable information to use against criminals.","Supervisors regulate financial institutions and non-bank financial institutions and their risk based AML/CFT programs.","Financial intelligence information is collected by authorities and shared with the FATF for further investigation.","Those convicted of money laundering offenses are denied access to basic banking services.","Money laundering offenses are investigated and criminally prosecuted.","","ABE","ABE","ABE","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"5","第三章.docx","130","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Which statement accurately describes the social and economic impact of money laundering?","Money laundering impacts the financial sector, which is critical for economic growth.","Increased money laundering generally results in greater economic stability as profits are reinvested in the jurisdiction.","Foreign investors are often attracted to jurisdictions with significant money laundering activity as the same conditions favour legitimate economic activity.","Money launderers generally remit any tax revenue that would be due in the jurisdictions in which they operate via front businesses.","","","A","A","A","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"6","第三章.docx","3","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","The Chief Compliance Officer (CCO) of a financial institution has been asked by a manufacturing customer reliant upon imported raw materials if there will be repercussions to his business following the weak assessment of the recent publicly issued Financial Action Task Force (FATF) Mutual Evaluation Report (MER). How should the CCO respond?","Citing inaccurate content of the MER, the president of the country has called upon the FATF to publicly withdraw the MER and commission an independent review of findings.","Negative consequences will not occur because the manufacturing customer has been trading with reputable countries and suppliers for many years without incident.","Mandate termination of all cross-border trading until evidence can be provided to show an improved position of compliance for the weaknesses stated in the MER.","Delayed processing of cross-border transfer of funds between countries may occur due to increased scrutiny to determine the legitimacy of each transfer.","","","D","D","D","无需修改","无明显风险；建议答案由已确认的中文答案经身份映射换算。","当前英文表达自然且与中文语义一致，建议保留。"
"7","第三章.docx","6","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","A customer brings $15,000 worth of chips into a casino and plays various games. The customer redeems all the remaining chips and requests a wire transfer of the proceeds to an unrelated third party. What are two red flags that indicate money laundering? (Choose two.)","Customer redeeming all remaining chips","Playing various games before cashing out","Bringing $15,000 worth of chips into the casino","Requesting a wire transfer to an unrelated third party","","","CD","CD","CD","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"8","第三章.docx","4","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","What do the Financial Action Task Force (FATF) mutual evaluations of each member assess?","The levels of implementation of the FATF Recommendations","The member's ability to send a representative to the plenary sessions","If the member has a large enough economy to maintain its membership","If the member has made any suggestions for updates to the FATF Recommendations","","","A","A","A","无需修改","无明显风险；建议答案由已确认的中文答案经身份映射换算。","当前英文表达自然且与中文语义一致，建议保留。"
"9","第三章.docx","5","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Which assessments are involved in the processes of mutual evaluation and follow-up by the FATF?","Risk assessments and technical standards assessments","Technical compliance assessments and effectiveness assessment","Sanction risk assessments and the country's National Risk Assessment","Country audit assessments and transaction monitoring assessments","","","B","B","B","无需修改","无明显风险；建议答案由已确认的中文答案经身份映射换算。","当前英文表达自然且与中文语义一致，建议保留。"
"10","第三章.docx","7","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","What are the main components of a FATF mutual evaluation?","Measuring effectiveness and technical compliance","Assessing a country and training","Scoping and on-site visits","Drafting reports and plenary discussions","","","A","A","A","无需修改","无明显风险；建议答案由已确认的中文答案经身份映射换算。","当前英文表达自然且与中文语义一致，建议保留。"
