"current_question_number","mapping_source_file","mapping_source_number","mapping_confidence","mapping_status","option_mapping","mapping_reason","proposed_question","proposed_A","proposed_B","proposed_C","proposed_D","proposed_E","proposed_F","current_answer","chinese_answer","proposed_answer","change_type","answer_analysis_risk","agent_notes"
"1","第二章.docx","100","高","已确认","A→A;B→B;C→C;D→D","全库唯一匹配中文第二章第100题；题干、四个选项及答案语义完整对应。","Which red flag is most indicative of money laundering through capital markets?","A low-priced security experiences a sudden surge in investor demand accompanied by a rising price.","A security shows a steady decline in both trading volume and price.","A firm experiences an unexpected increase in demand for exchange-traded funds (ETFs).","A trading customer maintains a securities portfolio concentrated in a single emerging market.","","","A","A","A","术语统一、机器翻译改写与语言润色","低：完整双向选项映射，建议答案由中文答案A换算，且与当前答案一致。","已确认跨章节映射；不按英文第六章题号推断中文来源。"
"2","第六章.docx","2","高","已确认","A→A;B→B;C→C;D→D","全库唯一匹配；题干、四个选项及答案语义完整对应。","Under which two circumstances may law enforcement obtain access to a financial institution customer's financial records? (Choose two.)","The person is named in a suspicious transaction report (STR).","Law enforcement serves a valid summons or subpoena.","An investigation of the customer is reported publicly in the media.","Law enforcement has only circumstantial evidence suggesting money laundering.","","","AB","AB","AB","术语统一、机器翻译改写与语言润色","中：完整双向选项映射，建议答案由中文答案AB换算；但选项A涉及SAR/STR保密与信息共享规则，具体权限因司法辖区而异。","保留中文题库答案AB；上线前应按适用司法辖区复核选项A的法律表述。"
"3","第六章.docx","1","高","已确认","A→A;B→B;C→C;D→D;E→E","全库唯一匹配；题干、五个选项及答案语义完整对应。","After suspicious activity has been identified, how may law enforcement lawfully obtain relevant documentation? (Choose two.)","Request copies of the relevant documents from the accountable institution.","Pay an employee of the accountable institution to copy the documents.","Ask a financial intelligence unit (FIU) to share copies of suspicious transaction reports.","Request the underlying institutional documents directly from the FIU.","Obtain a search warrant authorizing seizure of the documents.","","AC","AC","AC","术语统一、机器翻译改写与语言润色","高：完整双向选项映射，建议答案由中文答案AC换算；但选项E本身描述常见的合法取证程序，现有解析排除E的理由不足。","答案按中文源保留AC；应核对权威原题的限定条件后再确认是否需要处理选项E。"
"4","第六章.docx","3","高","已确认","A→A;B→B;C→C;D→D","全库唯一匹配；题干、四个选项及答案语义完整对应。","What is a key objective of the Egmont Group?","Promote the development of financial intelligence units (FIUs) and the exchange of expertise.","Protect the financial system from illicit use, combat money laundering, and promote national security.","Issue binding standards requiring FIUs in member jurisdictions to operate consistently.","Provide financial institutions with best practices for reporting suspicious activity and sharing information with law enforcement.","","","A","A","A","术语统一、机器翻译改写与语言润色","低：完整双向选项映射，建议答案由中文答案A换算，且与当前答案一致。","Egmont Group 与 FIU 术语已统一。"
"5","第六章.docx","4","高","已确认","A→A;B→B;C→C;D→D;E→E","全库唯一匹配；题干、五个选项及答案语义完整对应。","A prospective client approaches an accounting firm to establish a company. Which two observations should the accountant escalate to the compliance officer? (Choose two.)","The prospective client gives confusing details about the proposed business and has little knowledge of its intended activities.","The prospective client can provide documents supporting the source of funds and source of wealth.","The prospective client appears confident when providing personal information to the accountant.","The proposed company's principal activity is importing and exporting new furniture.","The prospective client cannot provide information about the beneficial owners.","","AE","AE","AE","术语统一、机器翻译改写与语言润色","低：完整双向选项映射，建议答案由中文答案AE换算，且与当前答案一致。","将不自然的“opinions of accountants”改为可上报的观察事项。"
"6","第六章.docx","6","高","已确认","A→A;B→B;C→C;D→D","全库唯一匹配；题干、四个选项及答案语义完整对应。","According to the Basel Committee paper on customer due diligence for banks, what is a key risk associated with correspondent accounts?","The account is not used daily.","Service fees do not cover the cost of administering the account.","The respondent bank's customer acceptance and know-your-customer policies are ineffective.","The volume and value of transactions through the account may differ from the original correspondent banking agreement.","","","C","C","C","术语统一、机器翻译改写与语言润色","低：完整双向选项映射，建议答案由中文答案C换算，且与当前答案一致。","采用术语表中的 respondent bank 与 correspondent bank。"
"7","第六章.docx","5","高","已确认","A→A;B→B;C→C;D→D","全库唯一匹配；题干、四个选项及答案语义完整对应。","Which scenario is an example of legal risk faced by a financial institution sanctioned for failing to report suspected fraud?","Foreign correspondent banks terminate their relationships with the sanctioned institution.","Customers withdraw funds, depleting the bank's reserves and creating liquidity problems.","The bank is required to compensate victims for losses caused by the fraudster.","The bank experiences higher default rates on loans to companies owned by the fraudster.","","","C","C","C","术语统一、机器翻译改写与语言润色","低：完整双向选项映射，建议答案由中文答案C换算，且与当前答案一致。","已保持原选项顺序。"
"8","第六章.docx","7","高","已确认","A→A;B→B;C→C;D→D","全库唯一匹配；题干、四个选项及答案语义完整对应。","A bank compliance officer reviews onboarding documents for a new account opened by a domestic corporation. The officer cannot verify the identity of the beneficial owners; only nominee owners are listed, and none of the addresses provided are local. The stated business purpose and expected activity include cash letters, money orders, and international remittances. Which red flag presents the greatest money laundering risk?","Expected activity includes cash letters and money orders.","The nature and purpose of the business include international remittances.","The individuals identified at account opening are nominees acting for the corporation's undisclosed beneficial owners.","The account signer's government-issued identification lists an address outside the area where the account was opened.","","","C","C","C","术语统一、机器翻译改写与语言润色","高：完整双向选项映射，建议答案由中文答案C换算；但现有解析先认定C为正确答案，后又将D标为正确，存在内部冲突。","保留C，因为无法识别受益所有人是更直接的洗钱风险；应将解析中D的“正确”更正为“次要风险/不选”。"
"9","第六章.docx","9","高","已确认","A→A;B→B;C→C;D→D","全库唯一匹配；题干、四个选项及答案语义完整对应。","A money laundering reporting officer (MLRO) knew that a strategically important bank client was sending money to human traffickers. The MLRO neither reported the activity to law enforcement nor sought to exit the relationship. What legal doctrine describes the MLRO's conduct?","Avoidance","Circumvention","Negligence","Willful blindness","","","D","D","D","术语统一、机器翻译改写与语言润色","低：完整双向选项映射，建议答案由中文答案D换算，且与当前答案一致。","采用术语表中的 willful blindness。"
"10","第六章.docx","10","高","已确认","A→A;B→B;C→C;D→D","全库唯一匹配；题干、四个选项及答案语义完整对应。","An analyst reviewing trade finance transactions observes a 25% price increase over 12 months for commodities of the same specification and quantity. What should the analyst do?","Prepare an investigation report substantiating the analyst's suspicion and file a SAR/STR.","Prepare an investigation report that considers the customer activity and factors that may have legitimately affected the transaction price.","Update the customer due diligence record so that enhanced monitoring can begin.","File a SAR/STR describing apparent trade-based money laundering with the financial intelligence unit (FIU).","","","B","B","B","术语统一、机器翻译改写与语言润色","低：完整双向选项映射，建议答案由中文答案B换算，且与当前答案一致。","使用 SAR/STR 与 FIU 的标准缩写。"
