current_question_number,mapping_source_file,mapping_source_number,mapping_confidence,mapping_status,option_mapping,mapping_reason,proposed_question,proposed_A,proposed_B,proposed_C,proposed_D,proposed_E,proposed_F,current_answer,chinese_answer,proposed_answer,change_type,answer_analysis_risk,agent_notes
1,第四章.docx,132,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,The product department of an insurance company proposes launching a special life insurance product with investment elements that allow clients to instruct payments to unknown third parties via partner financial institutions. The product department seeks fast-track approval from compliance to ensure quick market launch. What is the best course of action from a compliance perspective?,"Do not sign off on the product because it contains the option to make payments to unknown third parties, which carries a high money laundering risk.","Sign off on the product because client KYC is complete, and unknown individuals can be added or removed throughout the duration of the contract.","Do not sign off on the product because the compliance department was not involved from the beginning of the product development process, which is a severe governance violation.",Sign off on the product quickly to gain a competitive advantage while evaluation by compliance can be completed later.,,,A,A,A,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
2,第四章.docx,1,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Financial institutions (FIs) perform AML risk assessments to ensure:,a record for regulators indicating an AML risk assessment was completed at least once.,internal audit assurance that all AML-related policy and procedures are board approved.,satisfaction of the board of directors' approved risk appetite.,"proper controls surrounding higher-risk products, services, customers, and geographic locations.",,,D,D,D,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
3,第四章.docx,2,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Which is a key reason why a financial institution (FI) conducts an enterprise-wide AML risk assessment?,The need to assess money laundering and terrorist financing risks and ensure there are adequate controls to mitigate those risks.,"The identification of specific risk categories (i.e., export, inactivity, layman, and false locations) unique to the bank.",The need to understand its overall budget needs for each department and for internal audit.,The board of directors and senior management are required to have an AML risk assessment for the bank.,,,A,A,A,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
4,第四章.docx,3,高,已确认,A→A; B→B; C→C; D→D; E→E; F→F,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Typical events to identify and investigate potential AML activities include: (Choose three.),blocked transactions involving individuals included in the OFAC SDN list.,subpoenas requesting information for civil cases.,internal tips from employees of the bank about potential suspicious activity.,requests from law enforcement agencies.,alerts triggered by the automated AML monitoring system.,accounts going to dormant status.,CDE,CDE,CDE,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
5,第四章.docx,4,高,已确认,A→A; B→B; C→C; D→D; E→E,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Which risks are involved in a correspondent banking client's ownership and management structure? (Choose two.),Regularity of board meetings,Size of the management structure,"Status as a state, publicly, or privately held entity",Transparency of the ownership structure,Length of time since the last Wolfsberg Group review,,CD,CD,CD,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
6,第四章.docx,133,高,已确认,A→A; B→B; C→C; D→D; E→E,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Which changes at a financial institution (FI) should trigger an enterprise-wide reassessment of its inherent AML risk exposure?(Choose three.),Introduction of new products or services.,Restructuring of the FI's risk and compliance functions.,Changes in the individuals overseeing the FI's product lines and sales strategies.,Use of new technologies for delivering existing products.,Mergers or acquisitions.,,ABE,ABE,ABE,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
7,第四章.docx,134,高,已确认,A→A; B→B; C→C; D→D; E→E,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Which factors should lead to a reassessment of the current AML program?(Choose two.),Appointment of a new Chief Financial Officer,Change of company name,Change of internal audit team members,New product offering,Expansion of business to new territories,,DE,DE,DE,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
8,第四章.docx,5,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,A financial institution (FI) has decided to revamp its compliance program to be more risk-based. Which option should the FI use as part of the new risk-based compliance program?,Leadership-based,Predictive-based,Transaction-based,Data-based,,,D,D,D,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
9,第四章.docx,6,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,One example of an external factor that will affect an organization's AML risk includes:,acceptance of new customer types.,introduction of mobile banking for all clients.,political system changes in a specific jurisdiction.,introduction of a new product which will be offered to wide range of clients.,,,C,C,C,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
10,第四章.docx,8,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,A retail bank prepares a yearly AML risk assessment. Which inherent risk factor is likely the most relevant?,The provision of brokerage services,The provision of cash services,The provision of payable through accounts,The provision of remote check deposit services,,,B,B,B,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
