英文文件,英文题号,英文题干,状态,中文来源文件,中文来源题号,中文来源题干,备注
英文版第三章.docx,1,1.What does the Financial Action Task Force (FATF) urge its members and all other jurisdictions to do when a jurisdiction is identified as having lax anti-money laundering / counter financing of terrorism controls?,已一致,第三章.docx,1,1.当某个地区被认定为在反洗钱/对抗资助恐怖活动方面松懈，FATF会督促它的成员国家以及其他地区做什么?,解析内容已与中文版一致
英文版第三章.docx,2,2.Financial Action Task Force (FATF)-style regional bodies are created and obliged to understand the inherent money laundering and terrorist financing risks in the region of the world they serve. What is one of the methods they use to understand these risks?,已一致,第三章.docx,2,2.成立类似金融行动特别工作组（FATF）的区域组织，并有义务了解其所服务地区的固有洗钱和恐怖融资风险。他们用什么方法来理解这些风险?,解析内容已与中文版一致
英文版第三章.docx,3,"3.How should employees who comply with the regulations respond to the activities of senior managers involved in violating the requirements of preventing money laundering/combating terrorist financing, such as asking employees to handle transactions that have triggered the red flag?",已一致,第三章.docx,128,128.法规遵循员工要如何因应高阶经理人涉及违反防制洗钱/打击资助恐怖主义活动要求等活动，如要求员工处理已经触发红旗标志之交易?,解析内容已与中文版一致
英文版第三章.docx,4,4.(多选题)Which of the following are included in the11 Immediate Outcomes outlined in the Financial Action Task Force （FATF） methodology for assessing technical compliance with the FATF Recommendations and the effectiveness of AML/CFT/CPF systems during mutual evaluations?（Choose Three）,已一致,第三章.docx,129,129.(多选题)以下哪些内容包含在金融行动特别工作组（FATF）方法论所列的11个即时成果之中，这些成果用于评估各国在反洗钱（AML）、打击恐怖主义融资（CFT）和防止扩散融资（CPF）体系方面的技术合规性和有效性，并在互评过程中使用?（请选择三个选项）,解析内容已与中文版一致
英文版第三章.docx,5,5.Which accurately describes the social and economic impacts of money laundering?,已一致,第三章.docx,130,130.哪个准确地描述了洗钱的社会和经济影响?,解析内容已与中文版一致
英文版第三章.docx,6,6.The Chief Compliance Officer (CCO) of a financial institution has been asked by a manufacturing customer reliant upon imported raw materials if there will be repercussions to his business following the weak assessment of the recent publicly issued Financial Action Task Force (FATF) Mutual Evaluation Report (MER). How should the CCO respond?,已一致,第三章.docx,3,3.某金融机构的首席合规官（CCO）被一个依赖进口原材料的制造业客户问到，在最近公开发布的金融行动特别工作组（FATF）的相互评估报告（MER）评估不力之后，是否会对其业务产生影响。CCO应该如何回答?,解析内容已与中文版一致
英文版第三章.docx,7,"7.(多选题)A customer brings $15,000 worth of chips into a casino and plays various games. The customer redeems all the remaining chips and requests awire transfer of the proceeds to an unrelated third party. What are two red ags that indicate money laundering?(Choose two.)",已一致,第三章.docx,6,6.(多选题)一个客人带着1.5万美金的筹码来到一个赌场，并开始涉猎各种赌博项目。最后，客人要求赌场把剩下的所有筹码兑现，并将兑现的金额汇款给一个无关联的人。下列哪两项标志着存在洗钱行为?(请选择下列两个答案),解析内容已与中文版一致
英文版第三章.docx,8,8.What do the Financial Action Task Force (FATF) mutual evaluations of each member assess?,已一致,第三章.docx,4,4.金融行动特别工作组成员间的相互评估包括:,解析内容已与中文版一致
英文版第三章.docx,9,9.Which assessments are involved in the processes of mutual evaluation and follow-up by the FATF?,已一致,第三章.docx,5,5.金融行动工作组的相互评估和后续行动过程中涉及哪些评估?,解析内容已与中文版一致
英文版第三章.docx,10,10.What are the main components of a FATF mutual evaluation?,已一致,第三章.docx,7,7.金融行动特别工作组相互评估的主要内容是什么?,解析内容已与中文版一致
