current_question_number,mapping_source_file,mapping_source_number,mapping_confidence,mapping_status,option_mapping,mapping_reason,proposed_question,proposed_A,proposed_B,proposed_C,proposed_D,proposed_E,proposed_F,current_answer,chinese_answer,proposed_answer,change_type,answer_analysis_risk,agent_notes
1,第五章.docx,85,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,Which scenario best justifies why a customer's account might be closed by a financial institution?,The customer is the object of a civil subpoena.,The account has transactions that triggered multiple suspicious activity reports.,The customer uses a shipping company dealing with specially designated nationals.,The account shows periodic fixed amount remittances for tuition fees.,,,B,B,B,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
2,第五章.docx,2,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,A local law enforcement officer notifies the bank compliance officer that he is working on an insurance fraud scheme that appears to be running transactions using the account of a bank employee. The law enforcement officer refers to a kiting suspicious transaction report filed by the compliance officer and requests further information.What action should the compliance officer take?,Inform the board of directors,Call the employee and demand an explanation,Allow access to the bank's documents immediately,Provide the information to the law enforcement in response to a formal written request,,,D,D,D,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
3,第五章.docx,3,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,"At a small community bank,the compliance officer identifies unusual activity on a customer,who with his personal and company accounts,is the bank's largest depositor. The customer's companies have significant balances on their outstanding loans. The compliance officer notices that there is a lot of unusual movements of money between the customer's individual and business accounts. After filing a suspicious transaction report (STR),the compliance officer gets a call from law enforcement indicating that they want the bank to keep the account open while they conduct an investigation into the customer. How should the compliance officer escalate this information to the board of directors?",By providing a copy of the STR to the board,By informing the regulator to bring it up with their next meeting with the board,By providing a high level summary of the activity and the interactions with law enforcement,By providing a copy of the letter from law enforcement asking the bank to keep the account open.,,,D,D,D,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
4,第五章.docx,4,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,"A client who owns a swimming pool company requests to open 19 accounts at a bank,each with a debit card for its swimming pool technicians. When asked about the purpose of each account,the client explains that each technician needs a separate checking account to purchase pool chemicals.Which available source could be used in the bank's internal investigation on this client's activities?",Client's credit bureau report,Local law enforcement investigation report,Interview swimming pool technicians and chemical suppliers,Internet search showing how such businesses are typically operated,,,C,C,C,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
5,第五章.docx,79,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,What should the organization do when it receives a subpoena?,Send the summons to the heads of all departments for inspection and provide opinions on the contents of the summons.,"Examine the essence of the summons,and prepare the defense before committing the disciplinary action.","Send the notice of legal preservation to relevant parties,and keep the reply separately.",Contact the sender to confirm the nature of the investigation and the reasons for requesting records.,,,C,C,C,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
6,第五章.docx,80,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,Which three situations should prompt financial institutions to conduct internal investigations? (Choose 3.),When a financial institution receives a grand jury summons for a number of transactions in its account.,When some employees alert the senior management or the compliance officer of suspicious transactions in an account.,When the internal audit finds that there are omissions in the institution's money laundering prevention policy.,When a small local enterprise starts to engage in overseas activities and makes many wire transfers for unknown reasons.,,,ABD,ABD,ABD,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
7,第五章.docx,10,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,Which action should a financial institution take when it receives a grand-jury subpoena regarding a customer?,Make copies of the customer's documents and submit the originals to the enforcement agency.,Notify the customer being investigated before submitting documents.,Keep the customer's accounts open at the enforcement agency's verbal request.,Have the institution's assigned legal counsel review the subpoena.,,,D,D,D,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
8,第五章.docx,14,中,待人工确认,A→A;B→B;C→C;D→D;E→E;F→F,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,Which actions are involved when a prosecutor instructs a bank to freeze the assets and bank accounts held by one of its clients? (Choose 3.),"Inform other banks in the same geographical area to freeze the client's assets if they are a member of that bank,too.",Extend the account and asset freeze to the client's family members as a precautionary measure.,Ensure the client and beneficiaries are unable to access any frozen assets during the freeze order.,The institution does not need to comply with the request if the client's assets make the task unusually difficult or complex to access.,An affidavit must accompany the freeze order for the bank to comply with the request.,The institution should obtain a copy of the court order to freeze the assets of the named individuals.,CEF,CEF,CEF,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
9,第五章.docx,5,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,What should an employee do after witnessing suspicious activity from a coworker?,Request that the coworker provide justification for their actions.,Discuss the suspicious activity with your supervisor.,Request help from colleagues in determining that the best course of action.,Escalate to the company's conflict line or compliance department.,,,D,D,D,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
10,第五章.docx,6,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,What action should a bank CEO's assistant take when the bank CEO expenses large sums of money to a charitable organization run by the bank CEO's direct family member?,Report the actions to the Executive Board of the bank.,Meet with the bank CEO to learn why the donations are being made.,Investigate the charitable organization's relationship with the bank CEO.,Submit the concern anonymously to the bank's internal Compliance Hotline.,,,D,D,D,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
