priority,status,category,chapter,question_number,block,problem,evidence,suggestion,textbook_reference
P1,确定问题,答案/解析一致性,第二章,6,81,答案栏为 C，但解析写成“C选项错误……因此选C”，同一选项被同时判为错误和正确。,答案:C；解析: C选项错误，FATF规定……因此选C。,若答案 C 保持不变，应将“C选项错误”改为“C选项正确”。,教材术语：政治公众人物 (PEP)，外籍 PEP 属高风险情形，应采取增强尽职调查。
P1,需人工确认,答案疑似错误,第二章,4,52,题干问“为确保遵守新 AML 法律，机构应采取哪一步”，答案给 C“通知客户提供信息”。该动作不足以确保合规；B“修改程序和系统并培训员工”更完整。,答案:C；B: Change procedures and systems as necessary and provide employee training。,建议核对原题来源。若以合规实施为准，答案应优先考虑 B；C 可以是实施步骤之一，但不是充分的合规方案。,教材强调 AML/CFT 制度包括政策、程序、控制措施、系统和员工培训。
P1,需人工确认,答案疑似错误/核心术语,第二章,11,163,答案给 B，但题干和选项的“通汇/Huitong/对应银行”术语严重错乱；教材案例还特别提到应向员工提供核实委托银行最终受益所有人的实务指引，A 也可能是更贴近教材的选项。,A: Provide practical guidance to employees to confirm the ultimate beneficial owner...；B: Fully supervise counterpart banks...,先统一题干为 correspondent banking 或 payable-through account 语境，再核对答案。若依据德意志银行案例，A 需重点复核。,教材第17页：未向员工提供有关如何核实委托银行最终受益所有人的实用指导；词汇表：委托银行 (Respondent Bank)、通汇账户 (Payable Through Account)。
P1,确定问题,答案/解析一致性,第六章,3,11711,答案栏为 C，但解析中把 D 也写成“D选项正确”。题干为单选，解析正确项集合与答案集合不一致。,答案:C；解析: C选项正确……D选项正确……,若题干保持单选，应将 D 改为错误并说明“非本地地址只是次要风险”；若确需多选，则题干和答案都要改。,教材：公司组织形式风险核心在于难以识别最终受益所有人和实际控制人。
P1,确定问题,答案疑似错误/解析不匹配,第四章,107,7994,题干要求保护 SAR 信息，答案给 C“征求董事会批准披露”。按 SAR 保密原则，不能向信贷部门披露 SAR 归档客户名单，B 更符合题意；现有解析也没有解释 SAR 保密。,答案:C；B: Decline to provide the suspicious transaction report information to the credit department。,建议改答案为 B，并重写解析，说明 SAR 本身及是否提交 SAR 的事实都应保密。,教材：禁止泄露可疑活动报告本身，也禁止泄露曾经提交或未提交报告这一事实；SAR 保密性是报告制度关键。
P1,确定问题,选项结构/翻译,第二章,151,2472,该题只有 A-C 三个选项，结构异常；英文将“有意忽视”译为 intentional neglect，不符合教材术语 willful blindness。,题干: Legal or illegal activities involving “intentional neglect”...；选项仅 A/B/C。,补齐缺失选项或确认是否为三选项题；将 intentional neglect 改为 willful blindness，并重写 B/C 机器直译选项。,教材：有意忽视 (Willful Blindness)。
P2,确定问题,题型标记,第二章,150,2456,题目前标“(多选题)”，但题干为“哪一项”，答案也只有 B。,(多选题)下列哪一项……；答案:B。,删除“(多选题)”或将题干改为真正多选并调整答案集合。,
P2,确定问题,题型标记,第四章,29,6704,题目前标“(多选题)”，但题干是单选问法，答案也只有 C。,(多选题)应由以下哪类人员……；答案:C。,删除“(多选题)”标记。,
P2,确定问题,重复题/题源一致性,第二章/第四章,5 / 149,65 / 8730,同一 PEP 家属、腐败国家、财富暴增案例在两处出现，但金额与英文表达不一致：第二章为 7.52 million，第四章为 7 million；两处都用了 financial terrorism。,第二章 Q5: During the employment period... 7.52 million... financial terrorism；第四章 Q149: During on-boarding... $$7 million... financial terrorism。,统一题源版本。建议采用 on-boarding/onboarding、known for corruption、terrorist financing；统一初始财富金额。,教材：政治公众人物亲属和关系密切人员也视为政治公众人物；洗钱/恐怖融资应表述为 money laundering or terrorist financing。
P2,确定问题,英文翻译,第二章,7,98,选项 B 中 debit card 拼成 debt card。,check deposits followed by ATM withdrawals using debt card...,改为 debit card。,
P2,确定问题,核心术语,第二章,9,129,“巢状交易/Nesting”选项英文使用 Corresponding banks、Counterbank、upstream/downstream remittance 等非标准表达。,A: Corresponding banks provide upstream remittance services...；B: Counterbank provides downstream remittance services...,按教材改为 respondent bank provides downstream correspondent services to other financial institutions。,教材词汇表：连环代理 (Nesting)：委托银行通过其委托的代理银行为其他金融机构提供下游代理服务。
P2,确定问题,核心术语,第二章,10 / 12,145 / 181,“通汇账户”被译为 remittance account，不符合教材术语。,How does the remittance account expose...；Holding a remittance account...,统一改为 payable-through account (PTA)。,教材词汇表：通汇账户 (Payable Through Account)。
P2,确定问题,核心术语,第二章,10,145,“委托银行”被译为 entrusting bank，非教材术语。,being used by the entrusting bank...,改为 respondent bank。,教材词汇表：委托银行 (Respondent Bank)。
P2,确定问题,核心术语/机器翻译,第二章,11,163,Huitong Banking/Huitong 是中文“通汇”的音译，英文中不成立。,Which policies is necessary for Huitong Banking...；ultimate beneficial owner of Huitong。,按语境改为 payable-through account/business 或 correspondent banking/respondent bank，避免音译。,教材词汇表：通汇账户 (Payable Through Account)。
P2,确定问题,核心术语,第二章,34 / 35,561 / 575,“货币服务企业/MSB”和“银行保密法/BSA”被译为 money service industry/monetary service industry、bank secrecy law，术语不准确。,What actions should the money service industry take to avoid violating the bank secrecy law?；Which aspect of the monetary service industry...,改为 money services business (MSB)；Bank Secrecy Act (BSA)；AML program。,教材词汇表：货币服务企业 (Money Services Business; MSB)。
P2,确定问题,中文/英文翻译,第二章,23,351,正确选项 B 中文“节约费用”误译 surrender charges，应为退保费用/解约费用。,终止合同而不需要支付任何节约费用 / without penalties such as surrender charges。,改为“投保人可在犹豫期内终止合同而无需支付退保费用等罚金”。,教材：保单撤销期/犹豫期允许短期内撤销且无需支付罚金。
P2,确定问题,核心术语/英文表达,第三章,34,3438,选项 B 英文不通顺，影响多选题理解。,Persons residing in a having funds from countries with inadequate AML standards。,"改为 Persons residing in, or having funds from, countries with inadequate AML standards。",
P2,需人工确认,选项区分度,第三章,122,4917,A/D 两个选项高度相似，均表达禁止未许可交易；D 仅增加 foreign，可能导致两个选项都像正确项。,A: Prohibit or reject unlicensed trade and financial transactions...；D: Prohibit or reject unlicensed foreign trade and financial transactions...,核对原题选项。若只考 prohibited transactions，应让干扰项与 A 有实质区别。,
P2,确定问题,英文拼写/格式,第三章,142,5253,FI 被写成 Fls，疑似小写 l/大写 I 混淆。,US financial institutions（Fls）；US Fls cannot maintain...,统一改为 FIs。,
P2,确定问题,英文翻译,第三章,145,5300,designing a country as being of “prime money laundering concern” 用词错误；应为 designating/as a jurisdiction of primary money laundering concern。,What does designing a country as being of “prime money laundering concern” allow...,改为 What does designating a country as a jurisdiction of primary money laundering concern allow the U.S. government to do?,教材：美国《爱国者法案》第311条：主要洗钱问题/primary money laundering concern。
P2,确定问题,英文格式,第三章,153,5444,OFAC 名称首字母大小写错误，选项 D 末尾混入来源文字。,office of Foreign Assets Control；U. S. Sanctions Compliance Framework by OFAC。,改为 Office of Foreign Assets Control；删除选项 D 末尾来源文字。,
P2,确定问题,英文拼写/格式,第四章,91,7692,选项 A 英文大小写和拼写异常。,not Involved in the organizations AML compliance program... committee there of。,改为 not involved in the organization's AML compliance program and having a reporting line to the board of directors or a committee thereof。,
P2,确定问题,解析文字错误,第四章,149,8730,解析中财富增长写成“700万→700万→5.1亿”，多写一次 700万；英文金额前出现 $$。,财富增长，超过7000%（700万→700万→5.1亿）；$$7 million / $$510 million。,改为“700万→5.1亿”；金额前保留一个 $。,
P2,确定问题,英文拼写/OCR,第五章,105,11522,Financial 被写成 FinanciaI，末尾是大写 I。,government FinanciaI Intelligence Unit（FIU）,改为 Financial Intelligence Unit。,教材词汇表：金融情报机构 (Financial Intelligence Unit; FIU)。
