"question_no","question_id","ai_answer_text","reference_answer_cn_text","reference_answer_en_text","reference_answer_final_text","cn_en_answer_conflict","ai_reference_conflict","ai_cn_reference_conflict","ai_en_reference_conflict","pipeline_status","validation_check_count","reference_answer_status"
"1","v7_q_000001","C","C","C","C","False","False","False","False","ok","0","一致"
"2","v7_q_000002","C","C","C","C","False","False","False","False","ok","0","一致"
"3","v7_q_000003","A","A","A","A","False","False","False","False","ok","0","一致"
"4","v7_q_000004","D","D","C","D","True","False","False","True","ok","0","不一致"
"5","v7_q_000005","A","A","A","A","False","False","False","False","ok","0","一致"
"6","v7_q_000006","A","B","B","B","False","True","True","True","ok","0","一致"
"7","v7_q_000007","D","D","D","D","False","False","False","False","ok","0","一致"
"8","v7_q_000008","B","B","B","B","False","False","False","False","ok","0","一致"
"9","v7_q_000009","C","C","C","C","False","False","False","False","ok","0","一致"
"10","v7_q_000010","A","A","A","A","False","False","False","False","ok","0","一致"
"11","v7_q_000011","C","C","C","C","False","False","False","False","ok","0","一致"
"12","v7_q_000012","A","A","B","A","True","False","False","True","ok","0","不一致"
"13","v7_q_000013","D","D","D","D","False","False","False","False","ok","0","一致"
"14","v7_q_000014","C","C","A","C","True","False","False","True","ok","0","不一致"
"15","v7_q_000015","A","A","A","A","False","False","False","False","ok","0","一致"
"16","v7_q_000016","C","C","C","C","False","False","False","False","ok","0","一致"
"17","v7_q_000017","B","B","B","B","False","False","False","False","ok","0","一致"
"18","v7_q_000018","D","D","D","D","False","False","False","False","ok","0","一致"
"19","v7_q_000019","D","D","D","D","False","False","False","False","ok","0","一致"
"20","v7_q_000020","D","D","D","D","False","False","False","False","ok","0","一致"
"21","v7_q_000021","A","A","A","A","False","False","False","False","ok","0","一致"
"22","v7_q_000022","D","D","D","D","False","False","False","False","validation_failed","1","一致"
"23","v7_q_000023","B","B","B","B","False","False","False","False","ok","0","一致"
"24","v7_q_000024","B","B","B","B","False","False","False","False","ok","0","一致"
"25","v7_q_000025","B","B","B","B","False","False","False","False","ok","0","一致"
"26","v7_q_000026","D","B","B","B","False","True","True","True","ok","0","一致"
"27","v7_q_000027","A","A","A","A","False","False","False","False","ok","0","一致"
"28","v7_q_000028","C","C","C","C","False","False","False","False","ok","0","一致"
"29","v7_q_000029","C","C","C","C","False","False","False","False","ok","0","一致"
"30","v7_q_000030","C","C","C","C","False","False","False","False","ok","0","一致"
"31","v7_q_000031","D","D","D","D","False","False","False","False","ok","0","一致"
"32","v7_q_000032","B","B","B","B","False","False","False","False","ok","0","一致"
"33","v7_q_000033","B","B","B","B","False","False","False","False","ok","0","一致"
"34","v7_q_000034","C","C","C","C","False","False","False","False","ok","0","一致"
"35","v7_q_000035","B","B","B","B","False","False","False","False","ok","0","一致"
"36","v7_q_000036","A","A","A","A","False","False","False","False","ok","0","一致"
"37","v7_q_000037","D","D","D","D","False","False","False","False","ok","0","一致"
"38","v7_q_000038","B","B","B","B","False","False","False","False","validation_failed","1","一致"
"39","v7_q_000039","B","D","B","D","True","True","True","False","ok","0","不一致"
"40","v7_q_000040","D","D","D","D","False","False","False","False","ok","0","一致"
"41","v7_q_000041","D","D","D","D","False","False","False","False","ok","0","一致"
"42","v7_q_000042","A","A","A","A","False","False","False","False","ok","0","一致"
"43","v7_q_000043","D","D","D","D","False","False","False","False","ok","0","一致"
"44","v7_q_000044","A","A","A","A","False","False","False","False","ok","0","一致"
"45","v7_q_000045","B","B","B","B","False","False","False","False","ok","0","一致"
"46","v7_q_000046","B","B","B","B","False","False","False","False","ok","0","一致"
"47","v7_q_000047","B","B","B","B","False","False","False","False","ok","0","一致"
"48","v7_q_000048","A","A","A","A","False","False","False","False","ok","0","一致"
"49","v7_q_000049","D","D","D","D","False","False","False","False","ok","0","一致"
"50","v7_q_000050","D","D","D","D","False","False","False","False","ok","0","一致"
