Matched: 1854, Unmatched: 96

=== UNMATCHED CARDS ===

[v6_b01_N01] len=42
  citation: 及方法洗钱是指对犯罪所得进行处理并掩饰其非法来源，以期将犯罪所得用于合法或非法活动。
  knowledge: 洗钱的定义——对犯罪所得进行处理并掩饰其非法来源，以便用于合法或非法活动

[v6_b01_N12] len=19
  citation: 在洗钱定义中，'明知'是一项重要前提。
  knowledge: "明知"是洗钱三项定义的共同重要前提

[v6_b01_N13] len=43
  citation: 在上述三点定义中均出现了'明知……为犯罪所得'这一表述，普遍应用了'明知'的广义含义。
  knowledge: "明知"在洗钱定义中普遍应用广义含义

[v6_b01_N15] len=54
  citation: 一些司法管辖区在洗钱案件中也运用'有意忽视 (willful blindness)'这一法律原则来证明'明知'。
  knowledge: 部分司法管辖区运用"有意忽视"法律原则来证明洗钱"明知"

[v6_b01_N16] len=59
  citation: 这些法院认定有意忽视指'有意回避明知的事实'或者'故意放任'，即等同于切实明知资金的非法来源或客户在洗钱交易中的意图。
  knowledge: "有意忽视"的法律定义——有意回避明知的事实或故意放任，等同于切实明知

[v6_b02_N24] len=9
  citation: 损害合法的私营机构
  knowledge: 洗钱未被查出的宏观影响之一——损害合法的私营机构

[v6_b02_N25] len=6
  citation: 削弱金融组织
  knowledge: 洗钱未被查出的宏观影响之一——削弱金融组织

[v6_b02_N28] len=8
  citation: 经济扭曲和不稳定
  knowledge: 洗钱未被查出的宏观影响之一——经济扭曲和不稳定

[v6_b02_N29] len=4
  citation: 税收损失
  knowledge: 洗钱未被查出的宏观影响之一——税收损失

[v6_b02_N30] len=6
  citation: 私有化的风险
  knowledge: 洗钱未被查出的宏观影响之一——私有化的风险

[v6_b02_N32] len=6
  citation: 国际制裁风险
  knowledge: 洗钱未被查出的宏观影响之一——国际制裁风险

[v6_b02_N33] len=4
  citation: 社会成本
  knowledge: 洗钱未被查出的宏观影响之一——社会成本

[v6_b04_N09] len=97
  citation: 洗钱的负面影响通常涉及声誉风险、经营风险、法律风险、集中度风险，具体包括：•盈利业务的流失•资金撤出导致的流动性问题•代理银行业务被终止•调查费用和罚款•资产扣押•贷款损失•金融组织股票价值下跌
  knowledge: 洗钱的负面影响涉及四种风险——声誉风险、经营风险、法律风险、集中度风险，具体表现为盈利业务流失、流动性问题、代理银行业务终止、调查费用和罚款、资产扣押、贷款损失及股票价值下跌

[v6_b04_N28] len=253
  citation: 基于上述原因，各国际机构发布了多份声明，如巴塞尔银行监管委员会发布的《洗钱和恐怖融资风险健全管理》(Sound Management of Risks Related to Money Launderingand Financing of 
  knowledge: 基于洗钱负面影响，各国际机构发布了相关指南和标准，包括巴塞尔银行监管委员会的《洗钱和恐怖融资风险健全管理》和FATF的《反洗钱、反恐融资与反核武器扩散融资的国际标准》

[v6_b10_N04] len=7
  citation: 公认的高额利润
  knowledge: 私人银行容易被用于洗钱的原因之一——公认的高额利润

[v6_b10_N05] len=5
  citation: 激烈的竞争
  knowledge: 私人银行容易被用于洗钱的原因之一——激烈的竞争

[v6_b10_N06] len=5
