编号,领域,年份,题名,作者,标识符,开放来源,本地文件,状态,页数,方法,目标表示,评价或结论,对P7E的直接价值
01,通用流程抽取,2011,Process Model Generation from Natural Language Text,"Fabian Friedrich; Jan Mendling; Frank Puhlmann",DOI:10.1007/978-3-642-21640-4_36,https://doi.org/10.1007/978-3-642-21640-4_36,01_general_2011_friedrich_process_model_generation.pdf,已下载并核验,15,"NLP管线、句法/语义分析、指代消解、规则映射",BPMN流程模型,"47组工业与教材文本-模型对；平均约77%的模型内容正确","证明文本到流程模型需要指代消解和显式模型生成阶段"
02,通用流程抽取,2021/2023,Process Extraction from Text: Benchmarking the State of the Art and Paving the Way for Future Challenges,"Patrizio Bellan; Mauro Dragoni; Chiara Ghidini; Han van der Aa; Simone Paolo Ponzetto",arXiv:2110.03754,https://arxiv.org/pdf/2110.03754,02_general_2021_bellan_process_extraction_benchmark.pdf,已下载并核验,36,"系统比较10种流程抽取方法；统一为实体与关系抽取任务",流程实体、关系与模型要素,"方法、输出和评价高度异质；没有工具取得全面优秀结果","提醒P7E不能依赖单次端到端生成，必须单独评价节点、边和拓扑"
03,通用流程抽取,2022/2023,PET: An Annotated Dataset for Process Extraction from Natural Language Text Tasks,"Patrizio Bellan; Han van der Aa; Mauro Dragoni; Chiara Ghidini; Simone Paolo Ponzetto","arXiv:2203.04860; DOI:10.1007/978-3-031-25383-6_23",https://arxiv.org/pdf/2203.04860,03_general_2022_bellan_pet_dataset.pdf,已下载并核验,6,"人工标注45个流程文本；实体与关系基线",Activity、Actor、Activity Data、Further Specification、XOR/AND Gateway、Condition Specification；Flow等关系,"基线整体实体F1约0.74；关系F1约0.61；论文明确指出召回不足是主要挑战","为P7E的节点/边初始编码和高召回优先级提供直接依据"
04,通用流程抽取,2023,Beyond Rule-based Named Entity Recognition and Relation Extraction for Process Model Generation from Natural Language Text,"Julian Neuberger; Lars Ackermann; Stefan Jablonski","arXiv:2305.03960; DOI:10.1007/978-3-031-46846-9_10",https://arxiv.org/pdf/2305.03960,04_general_2023_neuberger_beyond_rule_based.pdf,已下载并核验,18,"数据驱动NER、关系抽取、共指消解，替代领域规则",流程实体、关系及共指合并后的模型元素,"在PET等数据上比较规则和数据驱动方法；强调同一实体多次提及必须合并","card接口可能以不同措辞出现，候选生成必须包含共指/同义归一"
05,通用流程抽取,2024,A Universal Prompting Strategy for Extracting Process Model Information from Natural Language Text Using Large Language Models,"Julian Neuberger; Lars Ackermann; Han van der Aa; Stefan Jablonski","arXiv:2407.18540; DOI:10.1007/978-3-031-75872-0_3",https://arxiv.org/pdf/2407.18540,05_general_2024_neuberger_universal_prompting.pdf,已下载并核验,18,"分步提示：mention检测、实体归并、关系抽取；再用启发式算法生成模型",活动、参与者和它们之间的关系,"8个LLM、3个数据集；相对既有方法绝对F1最高提升约8%；定义、示例和格式约束关键","支持P7E使用结构化分阶段提示，而不是直接让模型画整图"
06,程序知识图谱,2024,Human Evaluation of Procedural Knowledge Graph Extraction from Text with Large Language Models,"Valentina Anita Carriero; Antonia Azzini; Ilaria Baroni; Mario Scrocca; Irene Celino","arXiv:2412.03589; DOI:10.1007/978-3-031-77792-9_26",https://arxiv.org/pdf/2412.03589,06_general_2024_carriero_procedural_kg_llm.pdf,已下载并核验,19,"迭代提示工程，按预定义本体从无格式文本生成KG；人工用户研究",步骤、动作、对象、设备、时间信息及其关系,"LLM结果可达到可接受的感知质量；任务存在多个合理解释，难以构造唯一金标准","直接支持新增flow node、时间关系、来源标注和人工复核"
07,BPM与提示工程,2023,Just Tell Me: Prompt Engineering in Business Process Management,"Kiran Busch; Alexander Rochlitzer; Diana Sola; Henrik Leopold","arXiv:2304.07183; DOI:10.1007/978-3-031-34241-7_1",https://arxiv.org/pdf/2304.07183,07_general_2023_busch_just_tell_me_bpm_prompting.pdf,已下载并核验,8,"BPM领域提示工程研究议程",多类BPM任务的自然语言输出,立场/议程论文，不是完整抽取基准,"用于识别提示脆弱性、可重复性和评价风险"
08,科学信息抽取,2024,Structured Information Extraction from Scientific Text with Large Language Models,"John Dagdelen et al.",DOI:10.1038/s41467-024-45563-x,https://www.nature.com/articles/s41467-024-45563-x.pdf,08_general_2024_dagdelen_structured_ie_llm.pdf,已下载并核验,14,"微调GPT-3和Llama-2，联合NER与关系抽取；句子/段落到JSON",科学实体、关系和JSON记录,"在材料化学3类任务验证；说明整段上下文和结构化输出均可行","支持P7E输出严格JSON并把节点、关系联合校验"
11,工业-化学流程,2020,Automated Extraction of Chemical Synthesis Actions from Experimental Procedures,"Alain C. Vaucher; Federico Zipoli; Joppe Geluykens; Vishnu H. Nair; Philippe Schwaller; Teodoro Laino",DOI:10.1038/s41467-020-17266-6,https://www.nature.com/articles/s41467-020-17266-6.pdf,11_industry_2020_vaucher_chemical_synthesis_actions.pdf,已下载并核验,11,"规则生成大规模预训练数据，再以人工标注样本微调Transformer序列到序列模型",带属性的化学操作序列,"测试集中60.8%的句子动作序列完全匹配；82.4%达到75%匹配","说明动作类型和参数槽应先定义，弱监督预训练与人工精标可组合"
14,工业-施工安全,2021,An Improved Text Mining Approach to Extract Safety Risk Factors from Construction Accident Reports,"N. Xu; L. Ma; Q. Liu; L. Wang; Y. Deng",DOI:10.1016/j.ssci.2021.105216,https://doi.org/10.1016/j.ssci.2021.105216,14_industry_2021_construction_safety_text_mining.pdf,已下载并核验,37,"事故报告文本挖掘、领域词典构建、风险因素识别",安全风险因素及关联,通过事故报告案例验证领域词典和风险抽取,"支持从真实语料扎根生成术语/关系类型，但它不直接生成流程图"
