question_id,recommended_common_unit_count,recommended_pool,recommended_pool_unit_count,risk_flags,s0a_added,s0a_avg_change_ratio,s0a_changed_heads,s0a_common,s0a_dropped,s0a_heads,s0b_added,s0b_avg_change_ratio,s0b_changed_heads,s0b_common,s0b_dropped,s0b_heads,s0c_added,s0c_avg_change_ratio,s0c_changed_heads,s0c_common,s0c_dropped,s0c_heads
v7_q_000001,28,baseline_union_s0c,28,['s0a_high_disruption'],43,0.8332,5,17,43,5,26,0.5983,5,34,26,5,0,0.0,0,60,0,5
v7_q_000002,14,baseline_union_s0c,14,[],0,0.0,0,60,0,5,0,0.0,0,60,0,5,0,0.0,0,60,0,5
v7_q_000003,21,baseline_union_s0c,21,"['s0a_high_disruption', 's0b_high_disruption']",33,0.7074,5,27,33,5,29,0.6493,5,31,29,5,0,0.0,0,60,0,5
v7_q_000004,23,baseline_union_s0c,23,[],12,0.4557,5,38,21,5,17,0.4143,5,43,16,5,0,0.0,0,59,0,5
v7_q_000005,29,baseline_union_s0c,29,[],0,0.0,0,60,0,5,0,0.0,0,60,0,5,0,0.0,0,60,0,5
v7_q_000006,27,baseline_union_s0c,27,[],0,0.0,0,60,0,5,0,0.0,0,60,0,5,0,0.0,0,60,0,5
v7_q_000007,23,baseline_union_s0c,23,['s0a_high_disruption'],40,0.7939,5,20,40,5,0,0.0,0,60,0,5,0,0.0,0,60,0,5
v7_q_000008,14,baseline_union_s0c,45,"['s0a_high_disruption', 's0b_high_disruption', 's0c_high_disruption']",47,0.8779,5,13,47,5,38,0.7699,5,22,38,5,40,0.7976,5,20,40,5
v7_q_000009,30,baseline_union_s0c,30,[],6,0.1333,1,54,6,5,8,0.16,1,52,8,5,0,0.0,0,60,0,5
v7_q_000010,25,baseline_union_s0c,25,[],10,0.504,5,34,26,5,9,0.2681,5,50,10,5,0,0.0,0,60,0,5
v7_q_000011,13,baseline_union_s0c,36,"['s0b_high_disruption', 's0c_high_disruption']",31,0.676,5,29,31,5,36,0.7455,5,24,36,5,29,0.6443,5,31,29,5
v7_q_000012,10,baseline_union_s0c,30,"['s0b_high_disruption', 's0c_high_disruption']",17,0.4376,5,43,17,5,43,0.8343,5,17,43,5,30,0.6633,5,30,30,5
v7_q_000013,25,baseline_union_s0c,25,[],10,0.2353,2,50,10,5,5,0.1176,1,55,5,5,0,0.0,0,60,0,5
v7_q_000014,10,baseline_union_s0c,25,"['s0a_high_disruption', 's0b_high_disruption', 's0c_high_disruption']",41,0.8114,5,19,41,5,32,0.69,5,28,32,5,25,0.5863,5,35,25,5
v7_q_000015,28,baseline_union_s0c,33,[],4,0.1,1,56,4,5,4,0.1,1,56,4,5,3,0.08,1,57,3,5
v7_q_000016,17,baseline_union_s0c,29,[],19,0.4574,5,41,19,5,25,0.5733,5,35,25,5,17,0.4188,5,43,17,5
