"current_question_number","mapping_source_file","mapping_source_number","mapping_confidence","mapping_status","option_mapping","mapping_reason","proposed_question","proposed_A","proposed_B","proposed_C","proposed_D","proposed_E","proposed_F","current_answer","chinese_answer","proposed_answer","change_type","answer_analysis_risk","agent_notes"
"1","第二章.docx","97","高","已确认","A→A;B→B;C→C","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","Which legal or illegal activity involving willful blindness and international criminal elements may give rise to a suspicious activity report (SAR)?","Illegal activity whose proceeds may support a money laundering charge.","An interface forming part of a suspicious transaction monitoring system.","A specific illegal activity in which customers unrelated to an account are defrauded through a concentration account.","","","","A","A","A","术语统一、机器翻译改写与语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"2","第二章.docx","98","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","Willful blindness is defined as:","Failing to file suspicious transaction reports when dealing with companies or financial institutions established in offshore tax havens.","Failing to follow prescribed customer identification procedures.","Deliberately avoiding known facts or ignoring obvious money laundering red flags.","Deliberately avoiding a customer based only on speculation that the customer may be a money launderer or terrorist.","","","C","C","C","术语统一、机器翻译改写与语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"3","第二章.docx","99","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","A financial institution (FI) is investigating an alert generated by its automated transaction monitoring system. The AML analyst must decide whether to escalate the alert for further investigation or close it as a false positive. Which action would be reasonable for the analyst to take?","Perform below-the-line testing to ensure the automated monitoring system is operating effectively.","Send a request for information (RFI) to the counterparty bank involved in the transaction that caused the alert.","Request information from the relationship manager assigned to the account that caused the alert.","Restrict the client's access to the account.","","","C","C","C","术语统一、机器翻译改写与语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"4","第二章.docx","101","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","An anti-money laundering consultant audits a bank's AML policies, procedures, and controls. The bank serves high-income and high-net-worth clients, including nonresidents and offshore businesses. While reviewing the customer list, the consultant discovers that the consultant and the bank have clients in common. The bank's written AML program includes procedures for identifying customers but does not address ongoing monitoring of account activity. What should the consultant recommend?","Continue to follow the current written anti-money laundering program.","Focus on high-risk customer acceptance procedures.","Reduce the risk rating on the mutual customers","Revise the procedures to better assess ongoing customer activity.","","","D","D","D","术语统一、机器翻译改写与语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"5","第二章.docx","1","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","Which is a key goal of EU Directives on money laundering?","Establish a consistent regulatory environment across the EU to prevent money laundering","Address control of payments in EU countries to reduce money laundering","Allow member states to discuss the draft legislation with the cooperation of the EU Financial Intelligence Units (FIUs)","Build a network of financial institutions (FIs) that work together to prevent money laundering across the EU","","","A","A","A","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"6","第二章.docx","2","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","Which is a red flag for funds transfers?","Funds transfers are received in numerous small quantities from entities that are in related industries.","Funds transfers are repeatedly sent to the same beneficiary out of line with the business purpose.","Funds transfers are repetitive and within expected patterns.","Funds transfers are to a higher-risk geographic location with a known supplier within the same industry as the originator.","","","B","B","B","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"7","第二章.docx","3","高","已确认","A→A;B→B;C→C;D→D;E→E","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","Which red flags should be considered prior to establishing a relationship with a third party? (Choose two.)","The third party has sufficient capability to provide the services or goods for which it is being engaged.","The third party has a declaration of non-family or business ties with government officials.","The third party has requested unusual payment or billing procedures.","The third party has a lack of anti-corruption compliance clauses in agreements.","The third party's amount to be paid for goods and services appears to be reasonable.","","CD","CD","CD","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"8","第二章.docx","156","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","Using laundered funds to purchase high-value assets and luxury goods occurs at which stage of money laundering?","Integration","Layering","Placement","Structuring","","","A","A","A","术语统一、机器翻译改写与语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"9","第二章.docx","157","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","Which of the following is a stage of the money laundering process?","Integration","Structuring","Offshore","Placement","","","D","D","D","术语统一、机器翻译改写与语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"10","第二章.docx","4","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","What is a method of placement that can be used by a money launderer in a deposit taking institution?","Depositing cash into the money launderer's account","Sending a large number of funds transfers between accounts","Withdrawing large amounts of cash from the money launderer's account","Depositing cashier's checks and money orders into the money launderer's account","","","A","A","A","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"11","第二章.docx","5","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","A customer puts high-denomination cash notes into a poker machine at a casino. Without placing any bets, the customer collected winnings in the form of a check from the casino. Which money laundering threats could result from the customer's activities?","Micro-structuring cash","Obscured beneficial ownership","Misuse of money services business","Legitimizing illicit funds","","","D","D","D","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"12","第二章.docx","6","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","A new customer of a small community bank deposits four EUR 50,000 checks into one account. Shortly thereafter, the customer visits another branch and asks to transfer all but EUR 1,500 to three accounts in different foreign jurisdictions. Which activity should be the primary focus of a suspicious transaction report (STR)?","The customer opened the account with four large checks","The customer goes to a different branch to make this transaction","The customer transfers almost all of the funds out of the account","The customer asks to transfer funds to accounts in three different foreign jurisdictions","","","D","D","D","术语统一、机器翻译改写与语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"13","第二章.docx","7","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","What is an example of the integration stage of money laundering involving a bank or another deposit-taking institution?","Depositing illicit funds into an account set up for a front company","Directing third parties to exchange illicit cash for negotiable instruments","Wiring illicit funds from an account at one bank to an account at another bank","Using illicit funds that had previously been deposited to purchase a luxury vehicle","","","D","D","D","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"14","第二章.docx","158","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","Which of the following is an economic consequence of money laundering for a country?","Diverting attention from fraud or corruption offenses.","Disrupting legitimate financial systems and markets.","Promoting private-sector growth without legal constraints.","Creating opportunities for economic growth.","","","B","B","B","术语统一、机器翻译改写与语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"15","第二章.docx","159","高","已确认","A→A;B→B;C→C;D→D;E→E","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","Money laundering has social and economic impacts, especially within developing countries. A high volume of money laundering in a country may: (Choose Two.)","Reduce confidence in the country's financial sector.","Dissuade government tax incentive programs.","Lower the employment rate.","Dissuade foreign investment.","Reduce volatility in exchange and interest rates","","AD","AD","AD","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"16","第二章.docx","160","高","已确认","A→A;B→B;C→C;D→D;E→E","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","Which economic and social factors can create dependence on illicit activity and money laundering? (Choose two.)","Weak economic development and limited employment opportunities.","Limited financial inclusion.","Weak public services and inadequate government funding.","Greater exposure to organized crime and corruption.","Weak legitimacy of the private sector.","","AD","AD","AD","术语统一、机器翻译改写与语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
