英文文件,当前题号,字段,Excel行,修改原因,修改前,修改后
英文版第二章.docx,1,题干,7,Use the textbook term 'willful blindness' and restore natural English.,"1.Legal or illegal activities involving ""intentional neglect"" and international criminal factors that may lead to suspicious activity reports?","1.Which legal or illegal activity, when combined with willful blindness and an international criminal element, may lead to the filing of a suspicious activity report?"
英文版第二章.docx,1,选项A,7,Rewrite the machine-translated option without changing its meaning.,A.illegal activities that may lead to charges of money laundering.,A.Illegal activity whose proceeds could result in money laundering charges.
英文版第二章.docx,1,选项B,7,Rewrite the machine-translated option without changing its meaning.,B.An interface of the basic part of the suspicious transaction monitoring system,B.An interface that forms part of a suspicious transaction monitoring system.
英文版第二章.docx,1,选项C,7,Rewrite the machine-translated option without changing its meaning.,C.A specific illegal activity: customers who are not directly related to the account by cheating on the centralized account.,C.A specific illegal activity involving the use of a concentration account to defraud customers who are not directly associated with that account.
英文版第二章.docx,50,题干,12,Use the standard correspondent-banking term.,"50.What is a ""nested transaction""?","50.What is ""nesting"" in correspondent banking?"
英文版第二章.docx,50,选项A,12,Replace nonstandard machine-translated terminology.,A.Corresponding banks provide upstream remittance services to other financial institutions.,A.A correspondent bank provides upstream correspondent services to other financial institutions.
英文版第二章.docx,50,选项B,12,Use the textbook definition of nesting.,B.Counterbank provides downstream remittance services to other financial institutions.,B.A respondent bank provides downstream correspondent services to other financial institutions.
英文版第二章.docx,50,选项C,12,Correct capitalization and grammar.,C.the bank has many customers with other local banks.,C.The bank shares many customers with other local banks.
英文版第二章.docx,51,题干,"13, 14",Replace 'remittance account' with the textbook term PTA.,51.How does the remittance account expose the correspondent bank to the risk of money laundering?,51.How does a payable-through account (PTA) expose a correspondent bank to money laundering risk?
英文版第二章.docx,51,选项A,"13, 14",Replace 'entrusting bank' with 'respondent bank'.,A.being used by the entrusting bank that has not made due diligence requirements. ,A.It may be used by a respondent bank that has not established adequate due diligence requirements.
英文版第二章.docx,51,选项B,13,Correct grammar while preserving the option's meaning.,B.they use checks with numerical codes to identify the relevant sub-accounts and their owners. ,B.It uses checks with numerical codes to identify the relevant subaccounts and their owners.
英文版第二章.docx,51,选项C,13,Express the core PTA risk accurately.,C.Sub-account holders can have currency access privileges. ,C.Subaccount holders may have direct access to funds in the account.
英文版第二章.docx,51,选项D,13,Correct grammar while preserving the option's meaning.,D.being used by sub-account holders who are multinational financial institutions.,D.It may be used by subaccount holders that are multinational financial institutions.
英文版第二章.docx,52,题干,"4, 15",Remove the invalid transliteration 'Huitong'.,52.Which of the following policies is necessary for Huitong Banking to ensure a sound framework for preventing money laundering/combating terrorist financing?,52.Which policy is necessary for payable-through account services to maintain a sound AML/CFT framework?
英文版第二章.docx,52,选项A,"4, 15",Use standard correspondent-banking terminology.,A.Provide practical guidance to employees to confirm the ultimate beneficial owner of Huitong.,A.Provide employees with practical guidance on identifying the ultimate beneficial owners of the respondent bank.
英文版第二章.docx,52,选项B,"4, 15",Use standard correspondent-banking terminology.,B.Fully supervise counterpart banks and their frameworks for preventing money laundering/combating the financing of terrorism.,B.Exercise comprehensive oversight of respondent banks and their AML/CFT frameworks.
英文版第二章.docx,52,选项C,"4, 15",Remove machine-translated terminology and repair the sentence.,C.,C.Authorize the correspondent bank to terminate relationships with high-risk payable-through account customers.
英文版第二章.docx,52,选项D,"4, 15",Remove the invalid transliteration and repair the sentence.,D.corresponding bank to notify the compliance officer of Huitong Bank of the red flag sign before taking action.,D.Require the correspondent bank to notify the respondent bank's compliance officer of red flags before taking action.
英文版第二章.docx,53,题干,13,Replace 'remittance account' with the textbook term PTA.,"53.Which of the following options is correct? When the remittance account belongs to any of the following situations, the remittance banking business is most likely to become a channel for money laundering:",53.Which circumstance makes a payable-through account most vulnerable to use as a money laundering channel?
英文版第二章.docx,53,选项A,13,Correct grammar and terminology.,A.for foreign financial institutions such as banks,"A.It is maintained for a foreign financial institution, such as a bank."
英文版第二章.docx,53,选项B,13,Correct grammar and terminology.,B.Not directly providing services to third parties,B.It does not provide services directly to third parties.
英文版第二章.docx,53,选项C,13,Use the standard definition of a foreign shell bank.,C.Holding a remittance account for a foreign bank that has no entity in any country.,C.It is maintained for a foreign bank with no physical presence in any country.
英文版第二章.docx,53,选项D,13,Correct grammar and terminology.,D.Holding a remittance account for a foreign listed private bank with intermediary qualification.,D.It is maintained for a publicly listed foreign private bank authorized to act as an intermediary.
英文版第二章.docx,57,题干,"10, 24","Correct onboarding language, country-risk wording, currency format, and 'terrorist financing'.","57.(多选题)A company service provider in country A established a company structure for a customer in country B, which is famous for corruption. The company structure includes a holding company in country A, where an international bank has a bank account. During the employment period, the customer's wealth was estimated at 7.52 million dollars. Shortly thereafter, the client's father became the president of country B. Two years later, in a routine customer review, it was found that the customer's wealth had grown to $510 million. What are the two red flags indicating money laundering or financial terrorism? (Choose two. )","57.(多选题)A company service provider in Country A established a corporate structure for a customer from Country B, which is known for corruption. The structure includes a holding company in Country A with an account at an international bank. At onboarding, the customer's wealth was estimated at $7.52 million. Shortly thereafter, the customer's father became the president of Country B. Two years later, a routine customer review found that the customer's wealth had grown to $510 million. Which two red flags indicate possible money laundering or terrorist financing? (Choose two.)"
英文版第二章.docx,63,选项B,11,Correct 'debt card' to 'debit card'.,B.check deposits followed by ATM withdrawals using debt card in retail store.,B.Check deposits followed by ATM withdrawals using a debit card at a retail store.
英文版第二章.docx,66,题干,16,Use standard MSB and BSA terminology.,66.What actions should the money service industry take to avoid violating the bank secrecy law?,66.What action should a money services business (MSB) take to avoid violating the Bank Secrecy Act (BSA)?
英文版第二章.docx,66,选项A,16,Replace machine-translated AML terminology.,"A.Ensure that the Bank Secrecy Law/Money Laundering Prevention Department directly informs everyone, and develop policies to improve profitability and customer anonymity.",A.Ensure that the BSA/AML department directly informs every customer and adopt policies that maximize profitability and customer anonymity.
英文版第二章.docx,66,选项B,16,"Use standard MSB, BSA, and AML program terminology.","B.develop and maintain a money laundering prevention system to meet the location, scale, nature and transaction volume of the money service industry.","B.Develop and maintain an AML program appropriate to the MSB's location, size, nature, and transaction volume."
英文版第二章.docx,66,选项C,16,Replace machine-translated MSB terminology.,C.ensure that customers can control the information provided to the money service industry and the length of time to keep the information.,C.Allow customers to control what information they provide to the MSB and how long the information is retained.
英文版第二章.docx,66,选项D,16,Replace machine-translated MSB terminology.,"D.develop and maintain a money laundering prevention system to meet the overall risk status of money laundering prevention staff, financial resources and monetary services.",D.Develop and maintain an AML program based solely on the AML staff and financial resources available to the MSB.
英文版第二章.docx,69,题干,16,Use the standard term 'money services business (MSB)'.,69.Which aspect of the monetary service industry will increase the risk of financial crimes?,69.Which aspect of a money services business (MSB) increases its financial crime risk?
英文版第二章.docx,69,选项D,16,Correct grammar while preserving the option's meaning.,D.Supporting areas where banking services are inadequate,D.Serving areas with limited access to banking services.
英文版第二章.docx,43,题干,31,Insert the missing space.,43.A financial institution opens a mortgage loan for a customer. During a subsequent internal review of the loan，it was noted that the appraisal used to support the loan was performed by an appraiser who was not on the institution＇s approved appraiser list. This exception wasapproved by the senior loan underwriter. The reviewer， who had examined other loans from the same general area，noted that the value on the loan appeared significantly higher than on other comparable properties. Which of the following should the anti-money laundering specialist recommend next?,43.A financial institution opens a mortgage loan for a customer. During a subsequent internal review of the loan，it was noted that the appraisal used to support the loan was performed by an appraiser who was not on the institution＇s approved appraiser list. This exception was approved by the senior loan underwriter. The reviewer， who had examined other loans from the same general area，noted that the value on the loan appeared significantly higher than on other comparable properties. Which of the following should the anti-money laundering specialist recommend next?
